index,psi_norm,psi_abs_wb,rhop,rhot,q_eqdsk,ffprime_eqdsk,p_eq_pa,pprime_eqdsk_pa_per_wb,ne_1e19_m3,te_keV,nD_1e19_m3,tD_keV,nC_1e19_m3,tC_keV,zeff,p_e_pa,p_d_pa,p_c_pa,p_th_pa,p_fast_pa,q_chease,p_chease_pa,pprime_chease_pa_per_wb,ffprime_chease,total_current_density,total_parallel_current_density,bootstrap_current_density,bootstrap_parallel_current_density,bootstrap_current_density_raw_jbsbav,driven_current_density,driven_parallel_current_density,total_istar_rhop,pressure_offset_istar_rhop,bootstrap_istar_rhop,driven_istar_rhop,dVdpsi_m3_per_wb
0,0.0,-0.0548069066,0.0,0.0,1.2,-0.48319966,13526.1611,-330213.761,4.4518200000000006,0.810705,4.164270000000001,0.9888840000000002,0.047924999999999954,0.9888840000000002,1.3229578015283634,5782.4360904446985,6597.73129471221,75.93078073685959,12456.098165893769,1070.0629341062304,-1.2,13214.851114,-326337.33526,-0.4775273113,716187.53273,716187.53273,195.67731491858268,195.67731491858268,93.046398697,715991.8554150814,715991.8554150814,1.5958785,-1.2255949776406077,0.0007708851787941538,2.8207025924618137,93.483354082
1,0.0078125,-0.05426334868984375,0.08838834764831845,0.05608149293577123,1.23037123,-0.511135568,13355.5759,-297447.719,4.446089475842439,0.8132366530603269,4.143676911864619,0.9871869421667386,0.05040209399630329,0.9871869421667386,1.3400882569063899,5793.026784717492,6553.837687569099,79.71836371208015,12426.58283599867,928.9930640013299,-1.2105340306645733,13048.355593195973,-293942.31389689003,-0.5051457635667604,710571.2997193785,710571.2997193785,110.7652477188261,110.7652477188261,52.669914268325414,710460.5344716597,710460.5344716597,1.5958715,-0.0006692450181274168,0.00041286821825537763,1.596127876799872,94.00342410188102
2,0.015625,-0.0537197907796875,0.125,0.07947336437565428,1.22796274,-0.534855217,13201.6579,-268887.703,4.440563284645601,0.81540424939832,4.125102294510563,0.9854897887382232,0.0525768316891732,0.9854897887382232,1.3552037995110071,5801.247949535361,6513.242455058022,83.01506916957402,12397.505473762958,804.1524262370422,-1.2202373853,12898.318036,-265723.23791,-0.528581242305,705560.758255,705560.758255,1844.2681306307775,1844.2681306307775,876.96679535,703716.4901243693,703716.4901243693,1.5957719,-0.0023408545490567574,0.000398207385266352,1.5977145471637901,94.4960019665
3,0.0234375,-0.05317623286953125,0.15309310892394862,0.09752804529967314,1.23441535,-0.554854037,13062.255,-244039.484,4.434988104774707,0.8173031234612496,4.107684576809672,0.9836875179019311,0.054550587994172534,0.9836875179019311,1.3690015849339714,5807.457118628022,6473.879950314815,85.97397178135881,12367.311040724197,694.9439592758026,-1.229570792354897,12762.420647313731,-241172.66035423373,-0.5483397521404163,701050.5893365536,701050.5893365536,3720.695115203919,3720.695115203919,1769.225427399644,697329.8942213496,697329.8942213496,1.5955811,-0.003986443444206688,0.00019898078052549132,1.5993685626636813,94.96998052644479
4,0.03125,-0.052632674959375,0.1767766952966369,0.11283312408600508,1.24143538,-0.57156924,12935.4684,-222466.905,4.429528010193599,0.818877968303643,4.09187346966789,0.9817934921637921,0.056275756754285006,0.9817934921637921,1.3811405411012994,5811.483816267286,6436.5439437011355,88.52213637568576,12336.549896344108,598.918503655892,-1.2385872306892514,12638.82071550367,-219856.0300064877,-0.5648575638783344,696955.5100614897,696955.5100614897,5730.47842772906,5730.47842772906,2724.8962442728202,691225.0316337605,691225.0316337605,1.5953007,-0.005600709646834343,-8.322445045713371e-05,1.6009846340972915,95.42813371196341
5,0.0390625,-0.052089117049218744,0.19764235376052372,0.1263889875097466,1.24936243,-0.585386669,12819.6221,-203785.06,4.4241797597794426,0.8201357098100428,4.077612074460174,0.9797773063753173,0.057761280886544676,0.9797773063753173,1.3916745070690182,5813.382251514898,6400.938822800994,90.67229018600158,12304.993364501894,514.6287354981068,-1.2473381586286763,12525.858097698976,-201398.14449983256,-0.5785061699892844,693203.0324933518,693203.0324933518,7859.148185208519,7859.148185208519,3737.098680876628,685343.8843081433,685343.8843081433,1.5949323,-0.007178680083159771,-0.0003879960994235395,1.6024989761825832,95.87269261633683
6,0.046875,-0.051545559139062495,0.21650635094610965,0.1387064938931799,1.25731968,-0.596646828,12713.2371,-187654.266,4.4189283516477,0.8210861675772622,4.064781744049174,0.9776025084378154,0.05902443459975421,0.9776025084378154,1.4007154896124008,5813.211038816583,6366.634706171638,92.44949360075827,12272.295238588978,440.9418614110218,-1.2558577210865969,12422.126556782801,-185458.65840222914,-0.5896324104470195,689734.338049757,689734.338049757,10140.627906775586,10140.627906775586,4821.963688761556,679593.7101429814,679593.7101429814,1.5944773,-0.00871578469539558,-0.0006789862529737491,1.6038720709483694,96.30499397271916
7,0.0546875,-0.051002001228906246,0.23385358667337133,0.15008927036197867,1.26538352,-0.605650211,12615.0083,-173774.754,4.413745902464807,0.8217380636624978,4.053235488448459,0.9752213577106325,0.060085069002724874,0.9752213577106325,1.4083950707436808,5811.003345698196,6333.086708693328,93.88153068741124,12237.971585078934,377.03671492106514,-1.264184160330608,12326.341172476989,-171744.47896643737,-0.598527509978405,686498.3794399126,686498.3794399126,12595.717253453538,12595.717253453538,5989.3817018449945,673902.662186459,673902.662186459,1.5939374,-0.010208213991597444,-0.0009345816048657665,1.605080195596463,96.72662059219235
8,0.0625,-0.05045844331875,0.25,0.16073401287687322,1.27299545,-0.612662005,12523.7839,-161881.978,4.4086457085058735,0.8220905105589954,4.042981888878172,0.9726060013368449,0.06094396993795002,0.9726060013368449,1.4147121857878058,5806.778069440587,6300.12453960713,94.96817227981599,12201.870781327532,321.91311867246804,-1.2723451889,12237.374906,-159981.62272,-0.60546987964,683453.27452,683453.27452,15068.220692933544,15068.220692933544,7165.0802794,668385.0538270664,668385.0538270664,1.5933144,-0.011652249280685131,-0.0011424161129195592,1.6061090653936048,97.138649666
9,0.0703125,-0.04991488540859375,0.2651650429449553,0.17077905429795498,1.28086772,-0.617916239,12438.5474,-151742.473,4.403675272960121,0.8221467215328462,4.034011287590551,0.9697440616768344,0.06161066422826176,0.9697440616768344,1.4197221212465612,5800.6279333531475,6267.648487263046,95.72456766232295,12164.000988278516,274.5464117214833,-1.280382494126653,12154.251138264339,-149971.96547420495,-0.6106487238657735,680562.3128710248,680562.3128710248,17591.66387414311,17591.66387414311,8365.001181962187,662970.6489968817,662970.6489968817,1.5926098,-0.01304419149960158,-0.001295991144522695,1.6069499826441243,97.54276950017292
10,0.078125,-0.0493713274984375,0.2795084971874737,0.18032260001135214,1.28870856,-0.621619442,12358.4017,-143150.207,4.398814985849875,0.8219153671094904,4.026248171969531,0.9666036818712751,0.062094468980057424,0.9666036818712751,1.4234854330982536,5792.595333611505,6235.329085842067,96.16383093242669,12124.088250385998,234.31344961400282,-1.2883120093521494,12076.083072546528,-141482.42880038396,-0.6143062432074295,677796.2966904581,677796.2966904581,20255.750392047757,20255.750392047757,9631.799310357386,657540.5462984104,657540.5462984104,1.5918256,-0.014381034347236686,-0.0013925456113562439,1.6075991799585925,97.93949635934722
11,0.0859375,-0.04882776958828125,0.29315098498896436,0.18944010466512887,1.29633527,-0.623953878,12282.5554,-135923.352,4.394062132450158,0.8214023397667222,4.019581571396269,0.9631433519587393,0.06241342684231515,0.9631433519587393,1.4261211491393706,5782.724776358254,6202.719922314063,96.3117675853615,12081.756466257677,200.79893374232233,-1.2961616464097683,12002.102321288648,-134340.72457500978,-0.6166129601286835,675129.8988412037,675129.8988412037,23096.982528344626,23096.982528344626,10982.831841923984,652032.916312859,652032.916312859,1.5909634,-0.015660051272434566,-0.0014316884990495504,1.6080551397714842,98.32989664630156
